$FF_ResetHorseDo	正在設定隨從馬匹
$FF_ExtinguishDS	當玩家潛行時，隨從會熄滅他們的火把。這實際上是從他們的物品欄中移除火把，並在玩家不再隱形或進入戰鬥時恢復它們。僅適用於原版遊戲火把。需要「提高潛行AI」才能啟用。如果你正在使用命令所有隨從的手動版本，建議關閉。\n（預設：關閉）
$FF_AutoLootHeader	自動搜刮
$FF_LootMaxTime	最大搜刮時間
$FF_LootMaxTimeDS	隨從可以自動搜刮的最大時間，以秒為單位。潛行，戰鬥和最大玩家距離仍然會停止隨從搜刮行動。
$FF_LootDelayCombat	戰鬥後搜刮延遲
$FF_LootDelayCombatDS	這是隨從在戰鬥後自動搜刮的延遲時間(以秒為單位)。
$FF_LootDelay	搜刮開始/停止延遲
$FF_LootDelayDS	這是當你透過命令要求你的隨從去搜刮時的延遲時間，以秒為單位(非戰鬥後自動搜刮)。
$FF_LootPlayerDistance	最大玩家距離
$FF_LootPlayerDistanceDS	這是自動搜刮時隨從與玩家的最大距離。在室內，將會自動減少設定距離的65%。若超過此距離，自動搜刮將停止。
$FF_LootSpeed	搜刮速度
$FF_LootSpeedDS	搜刮中的隨從移動速度；提高速度也能縮短搜刮所需時間。
$FF_LootPostCombat	戰鬥後自動搜刮
$FF_LootPostCombatDS	如果啟用，隨從將在戰鬥結束時進行自動搜刮。如果隨從處於流血狀態（倒地），則自動搜刮將延遲5秒鐘，以使隨從能夠恢復。然後將再次進行檢查，如果隨從仍然處於倒地狀態，自動搜刮將被取消。這修復了一個隨從可以互相搜刮的錯誤。
$FF_LootDropJunk	丟棄低價雜物
$FF_LootDropJunkDS	啟用後，自動搜刮雜項物品的隨從會把價值低於下一項設定的雜物丟在地上。搜尋時無法預先排除這些物品；丟下的物品會標記為只有玩家能拾取。
$FF_LootJunkVal	雜物最低價值
$FF_LootJunkValDS	雜項物品至少必須達到此金幣價值，搜刮中的隨從才不會把它丟棄。
$FF_KeyActAutoLoot	開始/停止 自動搜刮熱鍵
$FF_KeyActAutoLootDS	允許開始自動搜刮，此時隨從會立即搜刮目前區域，或停止目前正在搜刮的隨從。如果隨從處於流血狀態（倒地），並且如果他們在5秒鐘內未恢復活動，則自動搜刮將被取消。
$FF_KeyTogLootCbt	切換 在戰鬥中自動搜刮熱鍵
$FF_KeyTogLootCbtDS	允許你在戰鬥後為所有隨從啟用或停用自動搜刮。也可以按需啟用。可以為每個隨從分別設定被搜刮的物品類型。
$FF_TogAutoLootOn	自動搜刮 啟用
$FF_TogAutoLootOff	自動搜刮 停用
$FF_AutoLootStart	開始 自動搜刮
$FF_AutoLootStop	停止 自動搜刮
$FF_AutoLootStartMsg	隨從正在搜刮...
$FF_AutoLootStopMsg	隨從停止搜刮
$FF_CatchUp	追趕（傳送）
$FF_ToggleWarp	允許傳送
$FF_ToggleWarpDS	隨從與玩家的距離達到「追趕距離」時，自動將其傳送到玩家身後。這可能讓隨從進入原本無法抵達的地點。\n（預設：開啟）
$FF_WarpRange	追趕距離
$FF_WarpRangeDS	啟用追趕傳送前所需的最小距離。\n（預設：2560單位）
$FF_WarpStart	追趕時間
$FF_WarpStartDS	檢查追趕距離之前必須經過的時間。\n（預設：8秒）
$FF_WarpWait	請求傳送等待的隨從
$FF_WarpWaitDS	使用命令能力或熱鍵隨時傳送時，也可召喚正在等待的隨從；每名等待中的隨從都會個別顯示「是／否」確認視窗。
$FF_KeyPort	傳送隨從熱鍵
$FF_KeyPortDS	設定熱鍵來傳送隨從到你的位置。這可以與命令隨從能力分開使用。它允許隨從進入他們通常不去的地方。
$FF_Movement	移動
$FF_MoveSpeed	移動增強
$FF_MoveSpeedDS	將所有隨從的速度值設定為該值（百分比）。將此值設定為預設值100時，將基本上關閉此功能。當關閉時，個別隨從的速度（如果超過100）將不會切回預設值，直到你載入一個新遊戲。必須退出MCM才能設定此更改。\n(預設：100%)
$FF_DynamicMove	動態速度調整
$FF_DynamicMoveDS	如果啟用，隨從移動速度設定為100%，當玩家跑步/衝刺時，隨從移動速度將提升到「移動增強」中設定的值。只有當玩家不在戰鬥中，不在室內區域中，隨從不在沙盒中，且距離超過768單位時才會發生。動態速度通常在使用時生效，但僅在正確的條件下進行更改。必須退出MCM才能設定此更改。\n(預設：關閉）
$FF_FleeDistance	避免靠近
$FF_FleeDistanceDS	隨從偵測到玩家並主動讓路的距離。若設定過高，隨從會不斷閃避你。\n（預設：12 單位）
$FF_ProtectCell	切換儲存格時保護隨從
$FF_ProtectCellDS	有時，如果你有多個隨從，則遊戲可能會意外地將其放置在其他物件內部或彼此之間。啟用後，進入新地區後2秒鐘內，他/她們不會受到傷害或記錄命中事件。除非你有一些遊戲問題，否則建議使用此功能。
$FF_Waiting	等待中
$FF_WaitNoBox	非沙盒等待
$FF_WaitNoBoxDS	如果勾選，則在命令等待時，隨從將不再沙盒，無論他們在哪個位置。\n（預設：關閉）
$FF_WaitForever	一直等待
$FF_WaitForeverDS	如果勾選，隨從將永遠在你指定的地方等待。換言之，他們將不會遵守Skyrim的規定（即在3天后被解僱）。這將不適用於具有自己對話的自訂隨從或不使用普通等待/跟隨命令系統的隨從。\n（預設：關閉）
$FF_KeyFollowAll	隨從 等待/跟隨熱鍵
$FF_KeyFollowAllDS	設定熱鍵在所有隨從的跟隨和等待狀態之間切換。查看你要改變的第一個隨從的狀態（跟隨或等待）。
$FF_Mounts	坐騎
$FF_MountsInvalid	坐騎（下馬以更改）
$FF_MountStyle	坐騎支援
$FF_MountStyleDS	設定隨從的坐騎與騎乘支援方式。「不支援」會讓其他模組完全接管；「生成馬匹」會提供坐騎與騎乘 AI 套件；「僅騎乘支援」只提供騎乘 AI 套件，不由 NFF 生成坐騎。\n（預設：生成馬匹）
$FF_HorseSkinGlobal	全域馬匹皮膚
$FF_HorseSkinGlobalDS	為所有重新整理的隨從馬匹設定預設外觀。\n（預設：棕色）
$FF_KeepHorse	馬匹停在附近
$FF_KeepHorseDS	下馬後，生成的馬匹現在會停留在周圍。\n（預設：關閉）
$FF_PlayerHorse	玩家的馬
$FF_KeyHorse	呼叫玩家的馬熱鍵
$FF_KeyHorseDS	設定用於呼叫玩家最後騎過的馬的鍵。按「Esc」將清除熱鍵。
$FF_KeyHorseM	呼叫玩家的馬
$FF_ToggleHorseRev	在鏡頭外重新整理馬匹
$FF_ToggleHorseRevDS	如果玩家的馬被移動到玩家身邊，嘗試從鏡頭外生成它。
$FF_ToggleHorseDis	呼叫 停用/啟用 附近的馬
$FF_ToggleHorseDisDS	當玩家的馬在附近時使用「呼叫馬」，停用或啟用它。不建議將此選項與沉浸式馬或方便的馬一起安裝使用。
$FF_SparHead	比武
$FF_SparAllow	允許比武
$FF_SparAllowDS	允許在與人交談時透過對話進行比武。
$FF_SparAny	任何人都可以比武
$FF_SparAnyDS	幾乎允許遊戲中的任何人進行比武。這裡的目的是允許你測試匯入隨從或其他NPC的力量。請注意，如果你不加思索地這樣做，可能會破壞遊戲，也可能引起騷亂。只對獨特的人起作用，不標記為兒童。區域內的任何盟友都可能幫助他們，導致暴亂。
$FF_SparVocal	使用播音員
$FF_SparVocalDS	以無形旁白宣告比武開始。
$FF_SparBrave	勇敢的戰鬥
$FF_SparBraveDS	比武時，戰鬥人員很有信心，除非他們感到不敵，否則不會逃跑。
$FF_SparStrip	衣物破損
$FF_SparStripDS	純屬娛樂、不講究沉浸感！為比武加入衣物破損橋段，參賽者受擊時可能掉落衣物。搭配占用 5 個以上身體槽位的服裝效果最佳。
$FF_SparStripFX	撕裂聲
$FF_SparStripFXDS	發出撕裂的聲音，作為脫去衣服部件時的聲音提示。聲音效果的材料沒有區別。
$FF_SparTied	比賽打平
$FF_SparFollow	戰鬥人員正在跟蹤你
$FF_SparCancel	比賽被取消
$FF_SaySpar	有興趣做一些比武訓練嗎？
$FF_SaySpar0	我希望你能成為第一個戰鬥員。
$FF_SaySparAlt0	我更希望你是第一個戰鬥員。
$FF_SaySpar1	我想讓你做第二個戰鬥員。
$FF_SaySpar2	取消比武競賽。
$FF_Combat	戰鬥
$FF_ReduceFight	減少內訌
$FF_ReduceFightDS	試圖在友方造成傷害或使用範圍殺傷法術和能力的情況下消除隨從之間的內訌。不能消除意外或附帶的損傷。\n（預設：開啟）
$FF_NoPTDamage	對隊友沒有傷害
$FF_NoPTDamageDS	啟用後，玩家的攻擊、毀滅法術與龍吼（「不卸之力」除外）不會傷害隨從或隊友。這會為玩家套用類似《龍裔》黑暗經書能力的專長。顯示上的副作用：拔出武器、法術或拳頭時，武器傷害可能顯示為零。\n（預設：關閉）
$FF_ToggleUnForce	不卸之力忽略隨從
$FF_ToggleUnForceDS	啟用後，不卸之力不會影響到隨從和隊友。如果你想用它把他們推開(比如擋門擋路)則應該將此設定為關。需要安裝並啟用「無團隊魔法傷害」。
$FF_CombatAware	改進的戰鬥意識
$FF_CombatAwareDS	隨從在戰鬥中沒有目標時，會嘗試尋找附近敵人：優先攻擊玩家的目標，否則隨機選擇一個目標。不影響信心設為「謹慎」或「膽小」的隨從。\n（預設：開啟）
$FF_EnsureCombatEnd	確保戰鬥結束
$FF_EnsureCombatEndDS	修復了一個偶發的遊戲錯誤，當玩家不再處於戰鬥狀態，且沒有敵人，但隨從仍處於戰鬥狀態。\n（預設：關閉)
$FF_Protection	受保護的隨從
$FF_ProtectionDS	啟用此設定後，跟隨你的隨從將被標記為受保護（只能被你殺死並將進入倒地流血狀態）。關閉此選項後，隨從可能會被任何人（包括你）殺死，如果他們不重要，則不會進入倒地流血狀態。遊戲中的大多數隨從（和下載的）都是重要的，僱傭的守衛和士兵則不是。更改在關閉MCM選單後生效。\n（預設：開啟）
$FF_Bleedout	流血瀕死
$FF_BleedTime	流血瀕死時間
$FF_BleedTimeDS	NPC在恢復前會停留在倒地狀態的時間，以秒為單位。這會影響所有NPC，而不僅僅是隨從\n（預設：15秒）
$FF_ToggleBleed	停用流血瀕死恢復
$FF_ToggleBleedDS	如果啟用，隨從在戰鬥中不再從倒地狀態恢復。你不能用藥劑或治療法術影響它們。\n（預設：關閉）
$FF_ToggleRevive	戰後恢復
$FF_ToggleReviveDS	當你們脫離戰鬥時確保隨從從倒地狀態中恢復。幫助消除遊戲使他們流血的情況。\n（預設：關閉）
$FF_Potion_0	關閉
$FF_Potion_1	所有人 (虛弱到強大)
$FF_Potion_2	所有人 (強大到虛弱)
$FF_Potion_3	輕度癒合
$FF_Potion_4	治癒術
$FF_Potion_5	大量癒合
$FF_Potion_6	超強癒合
$FF_Potion_7	極強癒合
$FF_Potion_8	終極癒合
$FF_AllowPotion	藥劑恢復
$FF_AllowPotionDS	如果隨從的生命值在50%或以下，或者正在流血，你可以使用治療藥水。使用的藥水類型由選單選擇決定。\n（預設：關閉）
$FF_Sharing	金幣分享
$FF_PhatLoot	分享財富
$FF_PhatLootDS	搜刮容器或屍體並獲得大量金幣時，可能讓你與隨從分享收穫，短時間提高他們的士氣（額外生命值）。收集到的金幣有一半會分給隨從。
$FF_PhatThreshold	最低分成
$FF_PhatThresholdDS	為發起分享對話所必須收集的金幣的最小數量。
$FF_PhatRandom	隨機分享
$FF_PhatRandomDS	戰利品是隨機共享的，取決程度是你設定的最小值（高於其值）。如果停用，戰利品總是共享的。
$FF_PhatAsk	要求分享
$FF_PhatAskDS	如果啟用，與你的隨從分享戰利品時會顯示一個提示。否則，戰利品將在未經你同意的情況下共享。注意可能會導致誤報，因為並不是每個容器都能在每個遊戲環境中被確定。
$FF_NoGivenGold	不給予金幣
$FF_NoGivenGoldDS	如果啟用，在任何時候，玩家透過這個模式與隨從分享金幣，但金幣不會出現在他們的物品欄。
$FF_RegardHeader	敬重系統
$FF_UseRegard	允許累積敬重
$FF_UseRegardDS	允許隨從使用敬重系統，逐步與你建立默契。與他們共度時光、並肩作戰及分享獎勵，可提升 9 個敬重等級。
$FF_RegardGifts	允許贈送禮物（敬重等級 3）
$FF_RegardGiftsDS	隨從可以隨時給你禮物，等級3（每日檢查，33%的機率）。這通常包括工藝材料（毛皮、基礎金屬、寶石）。僅當他們在侍奉你時發生。\n（預設：開啟）。
$FF_RegardGiftInterval	贈禮間隔
$FF_RegardGiftIntervalDS	在隨從給你禮物之前必須經過的天數。
$FF_RegardCourage	允許勇氣能力（敬重等級 6）
$FF_RegardCourageDS	當6級時，跟隨你的隨從不會逃離戰場。恐懼法術對隨從的效果只有數秒。\n（預設：開啟）。
$FF_RegardInspired	允許激勵能力（敬重等級 9）
$FF_RegardInspiredDS	隨從在9級時受到鼓舞。他們的遠端、武器和毀滅技能提高10，他們的生命和體力將提高25。\n（預設：開啟）。
$FF_HealRoleAdj	治療師角色
$FF_HealChance	治療檢定機率
$FF_HealChanceDS	在戰鬥中，治療師檢查是否需要治療的機率。每隔4秒檢查一次。降低該值將使治療師更偏向戰鬥或執行其他操作。
$FF_HealThresh	治癒級乘數
$FF_HealThreshDS	使用 NFF 的治療法術時，可設定乘數來減少或增加治療師隨從提供的治療量。治療法術通常回復 75 +（恢復技能的 20%）+（治療師等級）。設為 100% 時即為此數值；設為 50% 時則為一半。
$FF_HealPlayerVal	玩家治療百分比
$FF_HealPlayerValDS	當處於治療師角色時，隨從可能治癒玩家的百分比。將此設定為0將導致治療師不治療玩家。
$FF_HealSelfVal	自愈百分比
$FF_HealSelfValDS	隨從擔任治療師時，低於此生命值百分比才可能治療自己。設為 0 可停用自我治療（只會停用腳本施放的治療法術）。
$FF_HealOtherVal	其他治癒百分比
$FF_HealOtherValDS	當處於治療師角色時，隨從可能治癒其他隊員的百分比。將此設定為0將導致治療師不治療其他隊友。
$FF_notifyHeal	玩家治癒通知
$FF_notifyHealDS	當充當治療師角色的隨從治療玩家時顯示訊息。\n（預設：開啟）
$FF_notifyHealOther	隨從治療通知
$FF_notifyHealOtherDS	當扮演治療師角色的隨從治癒另一個隨從時顯示訊息。\n（預設：開啟）
$FF_TankRoleAdj	坦克角色
$FF_TauntChance	嘲諷機率檢定
$FF_TauntChanceDS	坦克在戰鬥中嘲諷的機率。僅當嘲諷冷卻時間完畢時，才以4秒的間隔進行檢查。減小該值將使坦克更偏向戰鬥或執行其他操作。
$FF_ToggleTauntVis	停用嘲諷視覺
$FF_ToggleTauntVisDS	當一個隨從扮演坦克的角色時停用嘲諷視覺效果。如果在遊戲中嘲諷使物件四處飛來飛去，你可能希望取消選擇此選項。\n（預設：關閉）
$FF_notifyTaunt	坦克嘲諷通知
$FF_notifyTauntDS	當充當坦克角色的隨從使用他們的嘲諷能力時，顯示一條訊息。\n（預設：開啟）
$FF_Magic	法術
$FF_Charge_0	關閉
$FF_Charge_1	使用靈魂石
$FF_Charge_2	自動充能
$FF_AllowCharge	武器再充能
$FF_AllowChargeDS	允許隨從定期向他們使用的武器充能。使用在其物品欄中已經填充的靈魂寶石（非玩家填充）。自動充能根據武器的附魔技能自動給武器充能。\n（預設：關閉）
$FF_notifyCharge	武器再充能通知
$FF_notifyChargeDS	當隨從重新充能武器、使用靈魂寶石或不能使用交易給他們的寶石時顯示訊息（必須啟用武器再充能）。\n（預設：開啟）
$FF_LightStyle	燭光術風格
$FF_LightStyleDS	如果教過燭光術，這就是隨從將要施放的光的樣式。隨從燭光持續3分鐘。你可以將此設定為「請勿施放」，則預設情況下沒有隨從施放光照。
$FF_Summoning	召喚生物
$FF_MinionSupport	召喚生物支援
$FF_MinionSupportDS	讓框架支援玩家或隨從召喚／復生的生物，最多 10 隻。框架會「接管」這些生物以減少彼此內鬥；每次施法最多可接管 5 隻。若使用「無隊友魔法傷害」，生物不會受到玩家或隨從法術傷害。系統也可能誤判並接管其他 NPC 的召喚物。
$FF_MinionFollows	召喚生物跟隨
$FF_MinionFollowsDS	如果上面的召喚生物支援被啟用，它們將跟隨玩家。這解決了一個問題:一個部下/下屬可能會被玩家或隨從意外擊中而只是站在那裡。這可能會導致「誤判」捕獲而跟隨玩家。
$FF_notifyMinion	獲得召喚生物通知
$FF_notifyMinionDS	當被召喚/重新啟用的生物被框架捕獲並支援時，顯示一條訊息。需要召喚生物支援才能啟用。\n（預設： 關閉)
$FF_TeachHeader	指導與傳授
$FF_LearnSpells	學習法術書
$FF_LearnSpellsDS	如果你給隨從法術書，他們可以學習新的法術。他們必須有法力才能施展法術來學習。如果隨從學習了法術，這本書就會被銷燬。\n（預設：關閉）
$FF_TeachSpells	學習你掌握的法術
$FF_TeachSpellsDS	隨從可以學習你左手或右手準備的新法術。他們必須有法力才能施展法術來學習。這需要以可被命令的隨從為目標。\n（預設：關閉）。
$FF_notifyLearn	法術學習通知
$FF_notifyLearnDS	當隨從學習到一個法術或無法使用時顯示一條訊息（必須啟用學習法術書）。\n（預設：開啟）
$FF_SkillAffinity	允許技能親和性
$FF_SkillAffinityDS	與隨從並肩作戰時，你可從他們的技巧與經驗中學習並提升自身技能。隨從的技能高於你時，學習機率會更高。僅武器、護甲與魔法技能適用，而且隨從的該項技能必須高於 15。
$FF_SkillAffinityMod	親和機率調整
$FF_SkillAffinityModDS	這是你從隨從那裡學習技能的基礎機率。如果他們的技能比你的高，就會增加，否則就使用基礎機率。12%是預設的機率，這將給你相當好的機會提高技能。
$FF_Selling	銷售
$FF_SellThreshold	出售物品閾值
$FF_SellThresholdDS	在為玩家銷售物品時，隨從離開的最長時間。\n（預設：1小時）
$FF_Dialogue	主要對話功能
$FF_AllowGuard	臨時招募
$FF_AllowGuardDS	可用金幣賄賂非關鍵 NPC，嘗試將其招募為隨從。出價越高，對方越可能加入。\n（預設：開啟）
$FF_DlgDivorce	配偶離婚
$FF_DlgDivorceDS	啟用此選項可以透過對話與配偶離婚。被拋棄的隨從將離開你，並在遊戲中的4個小時內不與你交談。不建議與多配偶模組一起使用。\n（預設：關閉）
$FF_DlgElope	私奔
$FF_DlgElopeDS	啟用後，此選項將為潛在的配偶提供附加對話，允許你立即與他們結婚，而無需舉行儀式或取得瑪拉護身符。（預設：關閉）
$FF_DlgSteward	解僱管家
$FF_DlgStewardDS	顯示一個對話，允許你在與爐火管家交談時將其解僱。\n（預設：關閉）
$FF_DlgBlades	支援刀鋒衛士招募
$FF_DlgBladesDS	增加了對要求戴爾芬招募刀鋒衛士的額外支援。它使用框架的計數而不是遊戲的隨從計數。刀鋒衛士必須在遊戲欄位中才能正常工作。
$FF_SubDialogue	額外對話功能(子選單)
$FF_DlgSubmenu	框架子選單
$FF_DlgSubmenuDS	此選項顯示一個包含本節中所有對話的對話方塊。關閉此選項可以完全隱藏子選單。
$FF_DlgSell	出售物品
$FF_DlgSellDS	顯示隨從對話，允許他們為玩家出售物品。\n（預設：開啟）
$FF_DlgTeach	教授法術
$FF_DlgTeachDS	顯示隨從的對話，如果啟用了此遊戲選項，玩家可以透過對話教授他們法術。\n（預設：關閉）
$FF_DlgBehind	在我身後
$FF_DlgBehindDS	顯示隨從的對話，使他們在你後面移動（傳送）。\n（預設：關閉）
$FF_DlgShake	振作起來
$FF_DlgShakeDS	在隨從對話中顯示可能有助改善於動作故障的選項，例如原地跑步或快速轉向不同方向。\n（預設：關閉）
$FF_AllowExpel	驅逐隨從
$FF_AllowExpelDS	出於除錯目的，這將顯示一個驅逐對話，強制從框架中移除隨從，並將其從正確的派系中新增或移除。僅適用於非匯入隨從。在其他情況下，可用於替代正常的解散對話。\n（預設：關閉）
$FF_Hiring	僱傭
$FF_HireCost	初始隨從週薪
$FF_HireCostDS	每週僱傭隨從的初始成本，用金幣計算。一旦一個隨從以這個比率被僱傭，她就被鎖定在與你的協議中，她將每週得到這個數額的報酬。改變這個值只會影響新招募的隨從。如果你不能付給隨從報酬，她最終會離開你。匯入的隨從是例外，因為NFF不能影響他們的招聘或解僱。\n（預設：0金幣）
$FF_ExpendCost	消耗品支出
$FF_ExpendCostDS	僱傭消耗性新兵的最高成本。中等和低消耗值是根據最大成本計算的。\n（預設：250金幣）
$FF_Chatter	閒聊
$FF_Chatter_0	開啟
$FF_Chatter_1	關閉
$FF_Chatter_2	沙盒
$FF_SetChatter	閒聊啟用
$FF_SetChatterDS	當在沙盒時為隨從設定閒聊開啟、關閉。不影響匯入的隨從。\n（預設：開啟）
$FF_SetChatterFreq	閒聊頻率
$FF_SetChatterFreqDS	為隨從設定閒聊頻率，以15分鐘為增量，最多8小時（480分鐘）。將此設定為0將使用預設時間（原版為1小時，RDO為隨機時間）。\n（預設： 0 至 停用)
$FF_AllowHellos	允許問候
$FF_AllowHellosDS	允許隨從在被招募時向玩家打招呼/問候。
$FF_AffectHellos	影響問候的距離
$FF_AffectHellosDS	解鎖影響遊戲中的問候距離的能力。這影響到所有的NPC，而不僅僅是隨從。
$FF_HelloDistance	最小問候的距離
$FF_HelloDistanceDS	允許你設定NPC與玩家打招呼的最小距離。如果你將其設定為0，NPC將不會與你打招呼。這包括隨從，不管上面的允許問候設定如何。
$FF_PlayerChest	額外儲存空間
$FF_KeyPlaceChest	放置保險箱熱鍵
$FF_KeyPlaceChestDS	允許玩家放置一個保險箱，只有玩家才有使用權，作為一個額外的且受保護的儲存空間。不能放置在地下城。可在城市、城鎮和據點(主要區域)內隨意移動。否則在遊戲中每4小時只能移動一次。
$FF_KeyPlaceChestM	放置保險箱
$FF_KeyOpenChest	開啟保險箱熱鍵
$FF_KeyOpenChestDS	允許玩家在城市，城鎮和據點(主要區域)遠端開啟玩家保險箱。在遊戲的其它地點，這被限制為每12小時一次(遊戲時間)。
$FF_KeyOpenChestM	開啟保險箱
$FF_DisableStorage	停用額外物品欄
$FF_DisableStorageDS	在所有隨從上全域啟用或停用物品欄。這只會隱藏選單項。
$FF_Import	隨從匯入
$FF_DlgAllowImport	允許 匯入/匯出對話
$FF_DlgAllowImportDS	與隨從交談時顯示對話方塊，你可以從NFF匯入或匯出她。匯入通常只檢查一個隨從是否在遊戲的隨從陣營中，以及他們是否是玩家的隊友。如果僅是玩家隊友，則匯入後容易出現誤判，因此請自行判斷。
$FF_DlgImport	確認匯入/匯出
$FF_DlgImportDS	如果啟用，則在匯入或匯出隨從時顯示確認訊息。\n（預設：開啟）
$FF_DlgImportSet	推薦的匯入調整
$FF_DlgImportSetDS	如果啟用，將在匯入隨從時顯示一個或多個對話方塊，允許你對其應用「安全」設定。不保證相容性。每個匯入的獨特隨從只顯示一次。如果停用，它將在每個獨特的隨從匯入時靜默工作一次，使用推薦的安全設定。\n（預設：開啟)
$FF_AutoImpGen	自動匯入/匯出
$FF_AutoImpGenDS	支援自動匯入和匯出其他匯入的隨從，這取決於檢測到的對玩家隊友標誌的改變。在匯入或匯出時一次性顯示對話（每個可匯入的隨從），允許你教NFF自動匯入/匯出他們。根據你是否解僱他們，使用你的最佳判斷。選擇否，將他們排除在匯入或匯出之外（單獨設定）。遵循隨從計數設定進行檢查。
$FF_AutoImpSerana	自動匯入瑟拉娜
$FF_AutoImpSeranaDS	支援瑟拉娜的自動匯入，取決於她自己遊戲腳本的變化。遵循隨從計數設定進行檢查。請注意，自動匯出已經為瑟拉娜內建。然而，如果她被自動匯入，當與她說話時，你將不會得到匯出對話。
$FF_BehaviorBase	預設行為
$FF_SetAggrBase	侵略性
$FF_SetAggrBaseDS	隨從的基礎戰鬥侵略性。戰鬥之外則不受影響。
$FF_SetAsstBase	支援
$FF_SetAsstBaseDS	隨從的基礎戰鬥支援數值。
$FF_SetConfBase	自信
$FF_SetConfBaseDS	隨從的基礎戰鬥勇氣值。
$FF_SetMoralBase	道德
$FF_SetMoralBaseDS	隨從會容忍和支援玩家犯罪的值。
$FF_CraftingBase	製作/互動 預設
$FF_CraftTorchesBase	製作火把
$FF_CraftTorchesBaseDS	啟用後，新獲得的隨從可以預設建立火把。有關詳細資訊，請參閱隨從調整。\n（預設：關閉）
$FF_CraftArrowsBase	製作箭矢
$FF_CraftArrowsBaseDS	啟用後，新獲得的隨從預設可以建立箭矢。有關詳細資訊，請參閱隨從調整。\n（預設：關閉）
$FF_CraftPotionsBase	製作藥水
$FF_CraftPotionsBaseDS	啟用後，新獲得的隨從預設可以建立藥劑。有關詳細資訊，請參閱隨從調整。\n（預設：關閉）
$FF_SharpWeaponsBase	鋒利武器
$FF_SharpWeaponsBaseDS	啟用後，新獲得的隨從預設可鋒利武器。有關詳細資訊，請參閱隨從調整。\n（預設：關閉）
$FF_DrinkTavernBase	在酒館喝酒
$FF_DrinkTavernBaseDS	啟用後，新獲得的隨從可以與侍者互動，並在酒館點酒。\n（預設：關閉）
$FF_DoDrunk	允許醉酒效果
$FF_DoDrunkDS	如果啟用，並且你在允許隨從進入的酒館裡喝酒，他們就有機會在喝酒的時候喝醉。
$FF_PlayerInteract	允許玩家互動
$FF_PlayerInteractDS	允許原版(和一些從RDO擴充)的語音隨從評論一些玩家的活動。可以透過微調關閉個別隨從評論。目前只支援玩家在鍛造場升級和手工製作時吐槽。\n（預設：開啟）
$FF_AllowForge	允許額外製作/工藝
$FF_AllowForgeDS	允許你製造額外的物品，如：燭光法術書，隱藏的頭盔，忽略標記和獨立的瑟拉娜的兜帽。\n(預設值：開啟)
$FF_Tracking	隨從追蹤
$FF_AllowTracking	允許追蹤隨從
$FF_AllowTrackingDS	新增一個任務到雜項任務日誌，允許你追蹤地圖上的隨從。
$FF_Companions	可選隨從
$FF_CompSaadia	薩提亞
$FF_CompSaadiaDS	一旦「患難與共」完成，允許薩提亞作為同伴。並允許你和她結婚。（完成後可能需要更改位置）\n（預設：關閉）
$FF_CompYsolda	伊索爾達
$FF_CompYsoldaDS	成為朋友關係後，允許伊索爾達作為伴侶（比如給她帶了一根猛獁象象牙。完成後可能需要更改位置）。\n（預設：關閉）
$FF_CompWinter	冬堡法師
$FF_CompWinterDS	一旦你成為冬堡學院的首席法師，就允許科萊特、德雷維斯、法勞達、妮爾雅、菲尼斯、塞爾吉烏斯和托夫迪爾成為隨從。你也可以個他們結婚。完整功能需要RDO（或類似模組）。（完成後可能需要更改位置）\n（預設：關閉）
$FF_CompThieves	盜賊工會成員
$FF_CompThievesDS	一旦你擊敗了墨瑟，就允許託尼莉亞、藍寶石、錫尼克、尼魯因、魯尼、錫蘭和維皮爾成為隨從。你也可以和他們結婚。完整功能需要RDO（或類似模組）。（完成後可能需要更改位置）\n（預設：關閉）
$FF_DifficultyHead	遊戲難度覆蓋
$FF_AllowDiff	允許難度覆蓋
$FF_AllowDiffDS	允許你在目前遊戲難度上覆蓋玩家的傷害比例和承受傷害比例。切換難度將重置任何改動。在SSE中，不確定此設定是否與CC生存模式有任何衝突。
$FF_PlayerDamageOutDS	變更玩家對敵人造成的傷害比例，切換難度將重置所有改動。
$FF_PlayerDamageInDS	變更敵人對玩家造成的傷害比例，切換難度將重置所有改動。
$FF_Diff0	新手
$FF_Diff1	學徒
$FF_Diff2	老手
$FF_Diff3	專家
$FF_Diff4	大師
$FF_Diff5	傳奇
$FF_Abilities	玩家施法能力
$FF_AllowCmd	命令隨從
$FF_AllowCmdDS	你可以為單個（或所有）隨從傳送命令、解除、交易、設定服裝和其他操作。\n（預設：開啟）
$FF_AllowCalm	安撫隨從
$FF_AllowCalmDS	讓你擁有安撫隨從的力量。這個技能可以讓所有的隨從和隊友平靜下來，並立即將他們從戰鬥中移除。持續60秒，影響相當大的區域。\n（預設：關閉）
$FF_AllowRetreat	隨從撤退
$FF_AllowRetreatDS	允許你擁有讓隨從撤退的力量。這個技能將導致所有的隨從從戰鬥中撤退。持續30秒，影響大範圍。\n（預設：關閉)
$FF_Notify	通知
$FF_notifyStartup	啟動任務的通知
$FF_notifyStartupDS	第一次安裝模組或載入舊存檔時顯示框架啟動訊息。\n（預設：開啟）
$FF_notifyHelm	頭飾存放通知
$FF_notifyHelmDS	當隨從儲存頭飾物品時顯示訊息（必須啟用僅在戰鬥中使用頭飾）。\n（預設：開啟）
$FF_notifyInteract	互動通知
